34196
My Darling Clementine | Linda Darnell | cast_member
In Custody (1993 film) | Film | instance_of
Giya Kancheli | Tbilisi | place_of_birth
Taipei | Warsaw | twinned_administrative_body
Romish Jalilov | Tajikistan | country_of_citizenship
Tarzan Escapes | Film | instance_of
The Cricket Game | David H. Goodman | screenwriter
The General's Daughter (film) | Carter Burwell | composer
Where Is the Friend's Home%3F | Iran | narrative_location
Oswaldo Sánchez | Spanish language | languages_spoken,_written_or_signed
David A. Frank-Kamenetskii | Moscow | place_of_death
The Big Bankroll | Film | instance_of
I Love You, Man | Film | instance_of
Flight of the Eagle | Jan Troell | screenwriter
Piranha 3DD | Film | instance_of
Soul Sound | Freak like Me | followed_by
William P. Rogers | Bethesda, Maryland | place_of_death
Dave Chappelle's Block Party | Wyclef Jean | cast_member
New York Street Games | Mike Starr (actor) | cast_member
Clapham South tube station | United Kingdom | country
My Feelings for You | Seek Bromance | follows
Clarence Weatherspoon | New York Knicks | member_of_sports_team
Sun Ra | Organ (music) | instrument
Bride of the Regiment | Edward Ward (composer) | composer
The Hot Chick | Film | instance_of
Giovanni Falcone | Palermo | place_of_birth
Dave White (artist) | Pop art | movement
Big Fish | Film | instance_of
Carl Friedrich von Weizsäcker | Hamburg | work_location
Dead Man | John Hurt | cast_member
Edwin L. Elwood | Apache Wars | conflict
Robert De Niro | Catholicism | religion_or_worldview
Lady of the Tropics | Jack Conway (filmmaker) | director
Kochadaiiyaan | Film | instance_of
Peđa Jerinić | Serbia | country_of_citizenship
Variety Girl | Cecil B. DeMille | cast_member
Michel Legrand | France | country_of_citizenship
Ro.Go.Pa.G. | Jean-Luc Godard | director
Ek Chadar Maili Si | Hema Malini | cast_member
Don't Give It Up (Siobhán Donaghy song) | Twist of Fate (Siobhán Donaghy song) | follows
Tora-san, the Expert | Japan | country_of_origin
The Quiet Man | Film | instance_of
Morrissey | Alternative rock | genre
Bridget Jones's Diary (film) | Bridget Jones: The Edge of Reason (film) | followed_by
Speedy Claxton | Golden State Warriors | member_of_sports_team
Super Xevious: GAMP no Nazo | Namco | publisher
Tarzana, the Wild Girl | Angelo Francesco Lavagnino | composer
Tango & Cash | Sylvester Stallone | cast_member
J. K. Rowling | United Kingdom | country_of_citizenship
Where Is the Love%3F | The Black Eyed Peas | performer
Alexander Frolov | Moscow | place_of_birth
Thiruvambadi Thamban | Jayaram | cast_member
Samba Para Dos | Lalo Schifrin | performer
Perdonami! | Film | instance_of
Playing Around | Film | instance_of
George Meniuc | Chișinău | place_of_death
Hanjuku Hero | Square (company) | developer
Wild Bill (1995 film) | James Remar | cast_member
Dictated Aggression | Loved by Thousands, Hated by Millions | follows
Mademoiselle ma mère | Comedy | genre
Harold Pinter | London | place_of_death
Bill Clement | Centre (ice hockey) | position_played_on_team_/_speciality
Bedtime Stories (film) | Happy Madison Productions | production_company
Frank Zappa | Drum kit | instrument
Big Miracle | Cliff Eidelman | composer
John Quidor | Jersey City, New Jersey | place_of_death
Mahmoud Jibril | Politician | occupation
House of Bamboo | Samuel Fuller | director
Sinbad the Sailor (1947 film) | Roy Webb | composer
Shoot the Moon | Karen Allen | cast_member
Winners of the West (1940 serial) | Film | instance_of
Safe House (2012 film) | Film | instance_of
Greatest Hits (The Doors album) | The Doors | performer
John R. Conniff | Tulane University | educated_at
The Spoilers (1942 film) | Film | instance_of
Charles James Faulkner | Politician | occupation
Hamlet (1948 film) | Film | instance_of
We're No Angels (1989 film) | Neil Jordan | director
The Old Testament (film) | Film | instance_of
The Protector (1985 film) | Film | instance_of
My Stepmother Is an Alien | Laurence Mark | producer
These Thousand Hills | Film | instance_of
Piriyadha Varam Vendum | Film | instance_of
Escape to Glory | Don Beddoe | cast_member
Ralph Smart | United Kingdom | country_of_citizenship
Thaai | M. S. Viswanathan | composer
If Walls Could Talk | Celine Dion | performer
Otto Heinrich Warburg | Nazi Germany | country_of_citizenship
Hikmet Bilâ | Lung cancer | cause_of_death
Pascal Bonitzer | Film director | occupation
August: Osage County (film) | Dermot Mulroney | cast_member
A Drink and a Quick Decision | B-Sides, Remixes and Rarities | follows
She Hate Me | Spike Lee | screenwriter
Franz Josef Strauss | Bonn | work_location
Sweden | Philippines | diplomatic_relation
America's Sweethearts | Christopher Walken | cast_member
How the West Was Won (film) | Karl Malden | cast_member
Will You Still Love Me%3F (song) | If She Would Have Been Faithful... | followed_by
Aladdin (1992 Disney film) | John Musker | director
Colin Moulding | Swindon | place_of_birth
Phantom 2040 | France | country_of_origin
Happy Feet (video game) | Music video game | genre
Mike Forshaw | Leeds Rhinos | member_of_sports_team
Only You (1994 film) | TriStar Pictures | production_company
No Matter What Sign You Are | The Weight | followed_by
The Sheriff | Roscoe Arbuckle | cast_member
The Land Before Time (TV series) | The Land Before Time XIII: The Wisdom of Friends | follows
I'll Take the Rain | All the Way to Reno (You're Gonna Be a Star) | follows
Simple Creed | Live (band) | performer
Maradona by Kusturica | Serbia and Montenegro | country_of_origin
Reginald Manningham-Buller, 1st Viscount Dilhorne | Magdalen College, Oxford | educated_at
The Greaser's Gauntlet | Biograph Company | production_company
Harald Gelhaus | Göttingen | place_of_birth
Mysterious Skin | Gregg Araki | screenwriter
John Bythesea | United Kingdom | country_of_citizenship
9 (2009 animated film) | John C. Reilly | cast_member
Zimbabwe | Bulawayo | contains_the_administrative_territorial_entity
The King of Yesterday and Tomorrow | TVB | production_company
Agni Natchathiram | Film | instance_of
Sidekicks (1992 film) | Alan Silvestri | composer
The Damned Don't Cry! | Film | instance_of
Last Stop on the Night Train | Italian language | original_language_of_film_or_TV_show
Winds of Chance | Frank Lloyd | director
Bringin' On the Heartbreak | Def Leppard | performer
Ben-Hur: A Tale of the Christ (1925 film) | Claire McDowell | cast_member
Columbus Circle (film) | Selma Blair | cast_member
Le Saint prend l'affût | France | country_of_origin
The Ladd Company | Hollywood | headquarters_location
Leicester City F.C. | United Kingdom | country
The Encounter (Animorphs) | Animorphs | part_of_the_series
The Battle (1911 film) | Film | instance_of
I'll Be Going Now | Dino Risi | screenwriter
Frank Butler (writer) | Long Island | place_of_death
The Courtship of Eddie's Father (film) | Milton R. Krasner | director_of_photography
Sahara (1943 film) | Lloyd Bridges | cast_member
The Green Berets (film) | John Wayne | producer
Igor Gruppman | Vesna Stefanovich-Gruppman | spouse
Sergei Krivokrasov | Amur Khabarovsk | member_of_sports_team
Anke Late Night | Talk show | genre
Love That Brute | Keenan Wynn | cast_member
Pilgrim (film) | Harley Cokeliss | screenwriter
Looney Tunes | Cartoon Network | original_broadcaster
Robert Duvall | Film director | occupation
Love Crazy (1941 film) | Film | instance_of
Death Race 2000 | Film | instance_of
Tasty Life | Seoul Broadcasting System | original_broadcaster
Jon Bon Jovi | Pianist | occupation
La porta del cielo | Vittorio De Sica | director
Joe Roberts (footballer) | Watford | place_of_death
Kaante | Amitabh Bachchan | cast_member
Shall We Dance (1937 film) | Joseph F. Biroc | director_of_photography
Clarence Weatherspoon | Houston Rockets | member_of_sports_team
Stage Fright (1950 film) | André Morell | cast_member
Cold Souls | Russia | filming_location
Adolphe Ferrière | Geneva | place_of_death
How We Do (song) | Dr. Dre | lyricist
Gregory Ratoff | Film director | occupation
G.I. Joe: The Rise of Cobra | Tokyo | narrative_location
Shadow Man (video game) | Acclaim Entertainment | publisher
The Stranger's Hand | Nino Rota | composer
Peak Performance (Star Trek: The Next Generation) | Star Trek: The Next Generation | part_of_the_series
Refugee (2006 film) | Film | instance_of
Beyoncé | African Americans | ethnic_group
Miladin Šobić | Montenegro | country_of_citizenship
1941 (film) | Steven Spielberg | director
Assam | Asia | continent
A. J. English | Washington Wizards | drafted_by
Last Embrace | Christopher Walken | cast_member
Pokémon Heroes | Ikue Ōtani | cast_member
Bread, Love and Dreams | Italian language | original_language_of_film_or_TV_show
The Amityville Horror (1979 film) | New York | narrative_location
Black Tie White Noise | Nile Rodgers | producer
Akira Kurosawa | Stroke | cause_of_death
It's a Business Doing Pleasure with You | Curb Records | record_label
Anthony Bitetto | Nashville Predators | drafted_by
Kharkiv | Brno | twinned_administrative_body
Triple Tap | Derek Yee | director
Return of the Seven | Fernando Rey | cast_member
Escape from L.A. | Kurt Russell | producer
Tombstone (film) | William A. Fraker | director_of_photography
Future Bound | Love Storm | follows
Leo Kottke Live | Peculiaroso | follows
Essam Shqalo | Damascus | place_of_birth
Clifton College | United Kingdom | country
Pony Canyon | Japan | country
House of 9 | France | country_of_origin
Michael Nylander | Centre (ice hockey) | position_played_on_team_/_speciality
Lobster for Breakfast | Italian language | original_language_of_film_or_TV_show
Sissy's Song | Country Boy (Alan Jackson song) | follows
Alex Riazantsev | Avtomobilist Yekaterinburg | member_of_sports_team
Frank Tashlin | Hollywood | place_of_death
Eat the Document | Bob Dylan | producer
Dark is the Moon | Penguin Books | publisher
Friedrich Vieweg | Braunschweig | work_location
Laure (film) | Emmanuelle Arsan | cast_member
Al Carmines | Swarthmore College | educated_at
Duel in the Sun (film) | David O. Selznick | director
Wenquan, Jimo | Towns of the People's Republic of China | instance_of
The Red Pony (1949 film) | Lewis Milestone | director
Sveta Trojica v Slovenskih Goricah | Municipalities of Slovenia | instance_of
Mick Jagger | The Rolling Stones | member_of
Giuseppe Barison | Trieste | place_of_death
John Q. | Film | instance_of
Biker Like an Icon | Off the Ground (song) | follows
Thevar Magan | Revathi | cast_member
Cloudland (album) | Pere Ubu | performer
Pretty Little Head (song) | Parlophone | record_label
Cat Ballou | Film | instance_of
We're All No One | Astralwerks | record_label
Karamdaata | Shakti Kapoor | cast_member
Madhuri Dixit | Padma Shri | award_received
Hayat Al-Fahad | Kuwait | country_of_citizenship
A Stranger in My Place | Anne Murray | performer
The Adventuress from the Floor Above | Vittorio De Sica | cast_member
The Mummy: Tomb of the Dragon Emperor | Randy Edelman | composer
55 Days at Peking | Madrid | filming_location
Charlie's Angels (film) | Tim Curry | cast_member
Two Weeks in Another Town | Claire Trevor | cast_member
Columbia Pictures | Sony Pictures Entertainment | parent_organization
Broker, Lewis | Outer Hebrides | located_in_the_administrative_territorial_entity
Punchy Cowpunchers | Columbia Pictures | distributed_by
Once Upon a Time in Mexico | Robert Rodriguez | production_designer
European Republicans Movement | Italian Republican Party | followed_by
The Hunger Games (film series) | Woody Harrelson | cast_member
Henry de Worms, 1st Baron Pirbright | George de Worms, 2nd Baron de Worms | siblings
Who Framed Roger Rabbit | Joanna Cassidy | cast_member
Lee Zahler | Hollywood | place_of_death
Sherlock Holmes and the Secret Weapon | Frank Skinner (composer) | composer
Dorell Wright | Miami Heat | drafted_by
Howard Carter (basketball) | Baton Rouge, Louisiana | place_of_birth
Spencer Compton, 1st Earl of Wilmington | United Kingdom | country_of_citizenship
Minority Report (film) | Janusz Kamiński | director_of_photography
Fortress (1992 film) | David Eggby | director_of_photography
Denis Kulyash | HC Dynamo Moscow | member_of_sports_team
Grown Ups (film) | Theo van de Sande | director_of_photography
Ashta Chamma | Film | instance_of
Lady Gaga | David Bowie | inspired_by
Ugo Fangareggi | Genoa | place_of_birth
Framed (1930 film) | William LeBaron | producer
Arise, My Love | Film | instance_of
Day for Night (film) | Georges Delerue | composer
Criminal Court | Film | instance_of
Khuda Gawah | Film | instance_of
Randu Penkuttikal | Madhu (actor) | cast_member
Bill Clinton | Lawyer | occupation
Episode 1 (Twin Peaks) | David Lynch | screenwriter
Planet of the Vampires | Mario Bava | screenwriter
Anweshichu Kandethiyilla | Adoor Bhasi | cast_member
Kars | Wesel | twinned_administrative_body
Les Mots (song) | C'est une belle journée | followed_by
Stripes (film) | Elmer Bernstein | composer
Fantozzi - Il ritorno | Film | instance_of
Junior Achievement | Colorado Springs, Colorado | headquarters_location
Jürgen Schmude | Lawyer | occupation
The Singing Vagabond | Ann Rutherford | cast_member
Battlefield 2: Modern Combat | RenderWare | software_engine
Red Apples Falling | Film | instance_of
Jagadeka Veeruni Katha | Rajanala Kaleswara Rao | cast_member
Frankfurt | Bonn | work_location
Dream House (film) | John Debney | composer
Haunted Lighthouse | Christopher Lloyd | cast_member
Every Man for Himself (1980 film) | Jean-Luc Godard | film_editor
Red Rover (film) | Jodi Lyn O'Keefe | cast_member
Young Wives' Tale | United Kingdom | country_of_origin
Dumitru Remenco | Gheorghe Remenco | child
Damarukam (film) | Film | instance_of
Home Delivery | Boman Irani | cast_member
Winner (film) | Film | instance_of
Rango (2011 film) | Bill Nighy | cast_member
Joan Greenwood | United Kingdom | country_of_citizenship
Lost Highway (film) | David Lynch | director
Sunset Serenade | George %22Gabby%22 Hayes | cast_member
Roped | John Ford | director
Leftoverture | Don Kirshner | record_label
Aanchal (1980 film) | Prem Chopra | cast_member
Cluj-Napoca | Makati | twinned_administrative_body
