21274
Gilles Mbang Ondo | Libreville | wasBornIn
Ron Foster (actor) | Secret of Deep Harbor | actedIn
John S. Robertson | Sentimental Tommy | directed
Herbert L. Strock | Battle Taxi | directed
Thorsten Schulz | SC Fürstenfeldbruck | isAffiliatedTo
Manasi Pradhan | Utkal University | graduatedFrom
Raoul Kraushaar | Stardust on the Sage | wroteMusicFor
Ahmadabad, Fasa | Shibkaveh District (Fars Province) | isLocatedIn
Alf Hale | Kiveton Park F.C. | isAffiliatedTo
Vera-Ellen | Love Happy | actedIn
Mads Christiansen | SC Magdeburg | isAffiliatedTo
The Osmonds | Goin' Home (The Osmonds song) | created
Dick Powell | Footlight Parade | actedIn
Cheech Marin | The Lion King | actedIn
Alfred Vohrer | Creature with the Blue Hand | directed
S. V. Ranga Rao | Ramudu Bheemudu | actedIn
Ignazio Ferronetti | The Table of the Poor | edited
Vignir Svavarsson | GWD Minden | playsFor
French Indochina | First Indochina War | participatedIn
Ranjitha | Madurai Meenakshi (film) | actedIn
Henry Silva | Sharky's Machine (film) | actedIn
Timothy Olyphant | Honolulu | wasBornIn
Radoslav Antl | HT Tatran Prešov | isAffiliatedTo
Ivan Pedrelli | Bologna | wasBornIn
Jeroen Ketting | AZ Alkmaar | playsFor
Bridget Fonda | Bodies, Rest & Motion | actedIn
Cecilia Parker | Out West with the Hardys | actedIn
Edward B. Jarvis | Operation Bullshine | edited
Agar Rodney Adamson | Progressive Conservative Party of Canada | isAffiliatedTo
Belinda Carlisle | Since You've Gone | created
Topher Grace | Predators (film) | actedIn
Rafael Acosta (Uruguayan footballer) | Atenas de San Carlos | isAffiliatedTo
Bernard Stevens | The Mark of Cain (1947 film) | wroteMusicFor
Ferdinand Marcos | Honolulu | diedIn
Rosa von Praunheim | Tally Brown, New York | edited
Vlatko Grozdanoski | FK Cementarnica 55 | playsFor
Mikhail Senyurin | FC Khimik Dzerzhinsk | isAffiliatedTo
Eugene Sseppuya | SC Villa | playsFor
Indraadip Dasgupta | Le Chakka | wroteMusicFor
Chevy Chase | Modern Problems | actedIn
Alfred Gough | Charlie's Angels (2011 TV series) | created
Emeli Sandé | Read All About It (song) | created
ABBA | People Need Love | created
Knut Hovel Heiaas | Drøbak-Frogn IL | playsFor
Selva (director) | Aasaiyil Oru Kaditham | directed
Edwin Justus Mayer | I Am Suzanne | created
Burt Lancaster | Marco Polo (miniseries) | actedIn
Mikalay Fastaw | FC Volna Pinsk | playsFor
Andrew L. Stone | Stolen Heaven (1938 film) | directed
Esha Deol | Aaytha Ezhuthu | actedIn
Francis Veber | Academy Awards | hasWonPrize
Nikita Gigolayev | FC Taganrog | playsFor
Alessandro Belleri | S.S.C. Giugliano | isAffiliatedTo
Giorgio Moroder | Like a Yo-Yo | created
Jean Renoir | La Grande Illusion | directed
Charles Lederer | I Love You Again | created
Michael Gash | Ebbsfleet United F.C. | playsFor
Preston Foster | The Round Up (1941 film) | actedIn
Prithviraj Kapoor | Daku Mansoor | actedIn
Fazuan Abdullah | Kuala Lumpur FA | playsFor
Nivaldo Lourenço da Silva | Atlético Clube Goianiense | isAffiliatedTo
Joel Theissen | GPS Portland Phoenix | isAffiliatedTo
Wayne Brown (footballer, born January 1977) | Bashley F.C. | playsFor
Senta Berger | Ramona (1961 film) | actedIn
Viswanathan–Ramamoorthy | Kaveri (1955 film) | wroteMusicFor
Paul Oakenfold | Faster Kill Pussycat | created
Stewart Granger | The Little Hut | actedIn
Dana Andrews | Laura (1944 film) | actedIn
Detto Mariano | La moglie in vacanza l'amante in città | wroteMusicFor
Robert Z. Leonard | Shon the Piper | actedIn
Simone Signoret | The Crucible (1957 film) | actedIn
Gary Cooper | The Lives of a Bengal Lancer (film) | actedIn
Ernest Torrence | Mantrap (1926 film) | actedIn
Boris Karloff | The Man Who Changed His Mind | actedIn
Leo Incollingo | Vermont Voltage | isAffiliatedTo
Brian Dennehy | Assault on Precinct 13 (2005 film) | actedIn
Franco Nero | Keoma (film) | actedIn
Bruce Hudson | Saint Louis Billikens men's soccer | playsFor
John Paddy Carstairs | Paris Plane | directed
Bokeem Woodbine | The Night Crew | actedIn
Ashani Fairclough | Wilmington Hammerheads FC | playsFor
Yevgeni Zarva | FC Tobol Kurgan | isAffiliatedTo
Isabella Rossellini | Two Lovers (2008 film) | actedIn
Meg Ryan | Dennis Quaid | isMarriedTo
Arthur Kraußneck | My Leopold (1924 film) | actedIn
Fredric March | Laughter (film) | actedIn
Richard Marks | Timeline (film) | edited
Carrie Underwood | See You Again (Carrie Underwood song) | created
Giuseppe Verdi | A Time of Destiny | wroteMusicFor
Seyyed Ayaz | Central District (Qasr-e Shirin County) | isLocatedIn
Kert Kütt | FC Kuressaare | isAffiliatedTo
Stephen Fry | The Borrowers (2011 film) | actedIn
Peter Gallagher | Bob Roberts | actedIn
Robert Downey Jr. | Susan Downey | isMarriedTo
John Gavin (director) | The Assigned Servant | directed
Roberto Rossellini | Rome, Open City | directed
Oskar Homolka | The Executioner (1970 film) | actedIn
Jim Broadbent | Detectives on the Edge of a Nervous Breakdown | actedIn
Zanjoe Marudo | Cinco (film) | actedIn
Ricardo Costa (Portuguese footballer, born 1973) | Sertanense F.C. | playsFor
Dolnja Košana | Inner Carniola | isLocatedIn
Ronnie Dunn | You're Gonna Miss Me When I'm Gone | created
Rahul Banerjee (actor) | Jackpot (2009 film) | actedIn
Christian-Jaque | Don't Tempt the Devil | directed
Thiago Marin Martir | Anagennisi Epanomi F.C. | isAffiliatedTo
Rita-Maria Nowotny | Cinderella (1955 film) | actedIn
Sophia Bush | The Hitcher (2007 film) | actedIn
James Cagney | The St. Louis Kid | actedIn
Danny Hall (footballer) | Curzon Ashton F.C. | isAffiliatedTo
David Arnold | Motifs in the James Bond film series | wroteMusicFor
Roy Del Ruth | If I Were Single | directed
David Strathairn | The Firm (1993 film) | actedIn
Rudolph Isley | Living Better Now | created
Wausau, Wisconsin | Marathon County, Wisconsin | isLocatedIn
Claire Simpson | Black Beauty (1994 film) | edited
Vishal–Shekhar | Waisa Bhi Hota Hai Part II | wroteMusicFor
Andrea Mandorlini (footballer, born 1991) | A.C. Giacomense | playsFor
Patrick Williams (composer) | Lou Grant (TV series) | created
Kevin Cronin | Don't Let Him Go | created
Ciccio Ingrassia | Caprice Italian Style | actedIn
Djair Baptista Machado | Esporte Clube Internacional | isAffiliatedTo
Salekh Abdulkayumov | FC Industriya Borovsk | playsFor
Jack Warden | The Lawbreakers | actedIn
Esmond Knight | The Blue Squadron (1934 film) | actedIn
Raúl García Carnero | Montañeros CF | playsFor
Volodymyr Mazyar | FC Dnipro-2 Dnipropetrovsk | playsFor
Nei (footballer, born 1980) | Trindade Atlético Clube | isAffiliatedTo
Gordon Liu | Deadly Strike | directed
Lyle Talbot | The Case of the Lucky Legs | actedIn
Jesús Rubio Martín | Huracán Valencia CF | playsFor
Pavlo Parshyn | FC Elektrometalurh-NZF Nikopol | isAffiliatedTo
Rudi Louw | Ramblers F.C. | isAffiliatedTo
Fabien Leclercq | Gap FC | isAffiliatedTo
John Goodman | Alabama Moon (film) | actedIn
Franco Zennaro | NK Istra 1961 | isAffiliatedTo
Kacey Musgraves | Blowin' Smoke | created
Sara Däbritz | SpVgg SV Weiden | isAffiliatedTo
Peter Guthrie | Sing Tao SC | isAffiliatedTo
Patrick Kamgaing | Cameroon national under-23 football team | playsFor
Chris Cleaver | Peterborough United F.C. | isAffiliatedTo
Farshad Janfaza | Foolad Khuzestan B F.C. | isAffiliatedTo
Herbert Lom | The Man with Bogart's Face | actedIn
Fay Islands | Queen Elizabeth Islands | isLocatedIn
Theodor Mommsen | Charlottenburg | diedIn
Hein Thiha Zaw | Yadanarbon F.C. | isAffiliatedTo
Nicolai Misje | Alta IF | isAffiliatedTo
Pascal Pédemonte | Calais RUFC | isAffiliatedTo
Raphael Wolf | Hamburger SV II | isAffiliatedTo
Vincent Herbert | Tamar Braxton | isMarriedTo
Joel Quartermain | Losing Friends Over Love | created
Elliott Gould | The Glass Shield | actedIn
Carrie Ng | The First Time Is the Last Time | actedIn
Hall Bartlett | Rhonda Fleming | isMarriedTo
Geri Donnelly | Vancouver Whitecaps FC (women) | playsFor
John Astin | The Dream Makers | actedIn
Ria Percival | F.C. Indiana | playsFor
Kevin Cossette | Montreal Impact Academy | isAffiliatedTo
Bert Wheeler | Kentucky Kernels | actedIn
Charlotte Rampling | The Fourth Angel | actedIn
Rohini (actress) | Aasai | actedIn
M. Emmet Walsh | Straight Time | actedIn
Vince Clarke | Drama! | created
Nickelback | Rockstar (Nickelback song) | created
Stephen Rea | Guinevere (film) | actedIn
Victor Sjöström | A Man There Was | created
Lester James Peries | Rekava | directed
Paul Newman | The Towering Inferno | actedIn
Marshall Neilan | Everybody's Acting | directed
Candice Bergen | Sweet Home Alabama (film) | actedIn
Boyd Okwuonu | Real Monarchs | playsFor
Miguel Comminges | Guadeloupe national football team | playsFor
Herbert I. Leeds | Time to Kill (1942 film) | directed
Patrice Neveu | Shanghai United F.C. | isAffiliatedTo
Brett Anderson | Electricity (Suede song) | created
Frank Oz | The Muppets Take Manhattan | actedIn
Amela Fetahović | ŽFK Spartak Subotica | isAffiliatedTo
Gustav Fröhlich | Clarissa (film) | actedIn
ZZ Top | Arrested for Driving While Blind | created
Marinko Jurendic | FC Grenchen | playsFor
Malcolm Young | Cover You in Oil | created
Marko Kristal | SK Tallinna Sport | playsFor
Tom Scott (musician) | Stir Crazy (film) | wroteMusicFor
Jack Marshall (composer) | The Girl from U.N.C.L.E. | created
Alexandra Stewart | Mickey One | actedIn
Bretton Byrd | Hoots Mon! (1940 film) | wroteMusicFor
Eric Tsang | I Love Hong Kong 2013 | actedIn
Lewis Gilbert | The Adventurers (1970 film) | directed
Mike Lindup | Hot Water (song) | created
ABBA | Lay All Your Love on Me | created
Rajasenan | Megasandesam | directed
Savitri (actress) | Donga Ramudu | actedIn
David Guetta | Laserlight (song) | created
William Conselman | Six Cylinder Love (1931 film) | created
Winston Churchill | South Africa | isCitizenOf
Michael Powell | A Canterbury Tale | created
Melvyn Douglas | Inherit the Wind (1965 film) | actedIn
Tim Finn | Chocolate Cake (song) | created
Glynis Johns | Third Time Lucky (1949 film) | actedIn
Olga Petrova | The Scarlet Woman | actedIn
András Jancsó | Soproni VSE | isAffiliatedTo
Skunk Anansie | Lately (Skunk Anansie song) | created
M. Jayachandran | Makante Achan | wroteMusicFor
Roberto Rossellini | The Man with a Cross | directed
Sam Hogin | I Believe in You (Don Williams song) | created
Timothy Spall | The Damned United | actedIn
Jo Potter | Birmingham City L.F.C. | playsFor
Vince Edwards | The Seduction (film) | actedIn
Teddy Riley | Fix (song) | created
Marques Houston | Circle (Marques Houston song) | created
Adele | I Can't Make You Love Me | created
Gro Espeseth | IL Sandviken | isAffiliatedTo
Nicolas Roeg | Two Deaths | directed
Kevin Hoyos | Club Social y Deportivo Tristán Suárez | playsFor
Jorge Alcalde | Talleres de Remedios de Escalada | playsFor
Fabrice Elysée Kouadio Kouakou | Stella Club d'Adjamé | playsFor
Patrick Carney | Bullet in the Brain | created
Susan Sarandon | Stepmom (film) | actedIn
Eugene Sseppuya | FK Jedinstvo Bijelo Polje | isAffiliatedTo
Pineville, Louisiana | Rapides Parish, Louisiana | isLocatedIn
V. Sridhar | Krishna Leela (2015 film) | wroteMusicFor
Brian Keith | Krakatoa, East of Java | actedIn
J. Cole | No Role Modelz | created
Rolfe Kent | Election (1999 film) | wroteMusicFor
Ria Percival | Ottawa Fury Women | playsFor
Demi Lovato | Skyscraper (song) | created
Wilfrid Hyde-White | Carry On Nurse | actedIn
Mohamed Sedik | Kocaelispor | playsFor
Bobby E. Lüthge | Road to Rio (1931 film) | created
Herbert Lom | Charleston (film) | actedIn
Sam Riley | On the Road (film) | actedIn
Jessica Tandy | The Seventh Cross (film) | actedIn
Smiley Burnette | Carolina Moon (1940 film) | actedIn
Norman Dawn | Showgirl's Luck | directed
Marx Santos | Morrinhos Futebol Clube | playsFor
Norma Aleandro | Argentina | isCitizenOf
Lothar Mendes | The Street of Sin | directed
Jerry Bruckheimer | Crimson Tide (film) | created
Dustin Hoffman | Racing Stripes | actedIn
Adam Tann | Leiston F.C. | isAffiliatedTo
Kevin Sloan | New Jersey Stallions | playsFor
Akim Tamiroff | North West Mounted Police (film) | actedIn
Stuart MacLeod (musician) | Black Fingernails, Red Wine (song) | created
Paul Bartel | Not for Publication | created
Tales dos Santos | Phuket F.C. | isAffiliatedTo
Ernest Borgnine | Man Hunt (1985 film) | actedIn
Michel Legrand | A Matter of Resistance | wroteMusicFor
Kate Deines | Seattle Sounders Women | playsFor
Magalan Ugochukwu Awala | Hapoel Rishon LeZion F.C. | playsFor
Piotr Bajor | Opole | wasBornIn
Aleksandr Vladimirovich Vasilyev | FC Zenit-2 Saint Petersburg | playsFor
Wahid Fattal | Hekmeh FC | playsFor
Juan Huerta | Club Social y Deportivo Flandria | isAffiliatedTo
Bon Jovi | Wanted Dead or Alive (Bon Jovi song) | created
Rosemary Harris | The Ploughman's Lunch | actedIn
Oliver Hampel | Hamburger SV II | isAffiliatedTo
Hana Nasser | Maccabi Ironi Bat Yam F.C. | isAffiliatedTo
Aleksandar Madžar (soccer) | FK Palilulac Beograd | isAffiliatedTo
Giovanni Ribisi | Flight of the Phoenix (2004 film) | actedIn
Ashley Gorley | Play It Again (Luke Bryan song) | created
Ralph Bellamy | The Wolf Man (1941 film) | actedIn
Joan Cusack | Hawaiian Vacation | actedIn
Gabrielle Roy | Saint Boniface, Winnipeg | wasBornIn
Ernest Borgnine | Three Brave Men | actedIn
Almuth Schult | SC 07 Bad Neuenahr | isAffiliatedTo
Sidney Olcott | The Irish in America | actedIn
Sol Kaplan | Trapped (1949 film) | wroteMusicFor
Alicia Keys | Swizz Beatz | isMarriedTo
Anushka Shetty | Rendu | actedIn
Lise Klaveness | Arna-Bjørnar | isAffiliatedTo
Jerez Industrial CF | Jerez de la Frontera | isLocatedIn
Chris Cooper | 11.22.63 | actedIn
Thomas Kretschmann | Next (2007 film) | actedIn
Mohamed Jameel | Club Valencia | playsFor
Roberto Benigni | Night on Earth | actedIn
Tahmima Anam | The Good Muslim | created
Mickaël Poté | Adana Demirspor | playsFor
Stephen Frears | The Hi-Lo Country | directed
Deborah Ashby | UCL Medical School | worksAt
James Burty David | Mauritius | isCitizenOf
Amir Salari | Khafr District | isLocatedIn
İrfan Başaran | Adana Demirspor | isAffiliatedTo
Sandro Continenza | Il vedovo | created
Ranjitha | Karnaa | actedIn
Glenn Tryon | The Haunted Honeymoon | actedIn
William da Silva Guimarães | Evian Thonon Gaillard F.C. | playsFor
Richard Arlen | Three-Cornered Moon | actedIn
Jean Carioca | Tombense Futebol Clube | isAffiliatedTo
Matt Williams (soccer, born 1987) | GPS Portland Phoenix | isAffiliatedTo
Ketlen Wiggers | Vittsjö GIK | playsFor
Groucho Marx | Double Dynamite | actedIn
Kevin East | New Jersey Stallions | isAffiliatedTo
Ernesto Gastaldi | Vendetta dal futuro | created
Tony F. Schneider | Presidential Unit Citation (United States) | hasWonPrize
Point Lay, Alaska | North Slope Borough, Alaska | isLocatedIn
John Hughes (filmmaker) | Sixteen Candles | directed
Kevin Cossette | Louisville City FC | isAffiliatedTo
S. A. Chandrasekhar | Pattanathu Rajakkal | directed
Dan Bigras | La Rage de l'ange | created
Jon Bon Jovi | You Give Love a Bad Name (song) | created
Steely Dan | Bad Sneakers | created
Tuesday Weld | I Walk the Line (film) | actedIn
Jesús Rubio Martín | Écija Balompié | isAffiliatedTo
Judd Nelson | Conflict of Interest (film) | actedIn
Diaz Kambere | Surrey United Firefighters | isAffiliatedTo
Rei Ujkashi | KF Tirana | playsFor
Eastern Province, Sri Lanka | Sri Lanka | isLocatedIn
John Leventhal | Sunny Came Home | created
Mario Babić | NK Sesvete | playsFor
Álex Cacho | Lleida Esportiu | isAffiliatedTo
John Singleton | Higher Learning | created
Apocalyptica | Not Strong Enough (Apocalyptica song) | created
Chris Dickens | Macbeth (2015 film) | edited
Bernard McConville | The Old Swimmin' Hole (1921 film) | created
Enias Kalogeris | Panargiakos F.C. | playsFor
Joni Puurula | SaiPa | isAffiliatedTo
Brad Paisley | Whiskey Lullaby | created
Ace Herman | The Great Alaskan Mystery | edited
The Killers | For Reasons Unknown | created
Willem Dafoe | The Grand Budapest Hotel | actedIn
Aldo Fabrizi | One of Those | directed
Jaromír Paciorek | SK Hanácká Slavia Kroměříž | playsFor
Bojan Vučković (footballer) | Rochester Rhinos | playsFor
Takeshi Kitano | Brother (2000 film) | edited
Ambika Sukumaran | Swargarajyam | actedIn
Aimee Mayo | You Are (Jimmy Wayne song) | created
Hugh Percy, 1st Duke of Northumberland | Elizabeth Percy, Duchess of Northumberland | hasChild
Tim Lo Duca | NK Nafta Lendava | isAffiliatedTo
Robbie Tice | Kjelsås Fotball | playsFor
Benjamin Romualdez | Nacionalista Party | isAffiliatedTo
Om Prakash | Alaap | actedIn
Clarence Williams III | The General's Daughter (film) | actedIn
Henry Silva | The Manchurian Candidate (1962 film) | actedIn
Stephen Armstrong | Sporting Kansas City | isAffiliatedTo
George Tzavellas | O ziliarogatos | created
Jean Delannoy | Daughters of Destiny | directed
Sergei Bulatov | FC Uralets Nizhny Tagil | isAffiliatedTo
Tygh Runyan | Normal (2007 film) | actedIn
Lowell Lo | First Shot (1993 film) | wroteMusicFor
Sayaji Shinde | Shool | actedIn
Charles Craft | Courage of the West | edited
Charles Bronson | Chino (1973 film) | actedIn
Asrani | Kalabaaz | actedIn
Akim Tamiroff | The General Died at Dawn | actedIn
Guy Abend | Louisville City FC | isAffiliatedTo
Leonardo Benvenuti | Don Camillo's Last Round | created
Corey Taylor | All Hope Is Gone (song) | created
Al Adamson | Angels' Wild Women | directed
Luciano Goux | Argentina | isCitizenOf
Dick Maas | Amsterdamned | wroteMusicFor
Charles Hawtrey (actor born 1914) | Carry On Nurse | actedIn
Theresa Russell | The Grotesque (film) | actedIn
Thelma Todd | The Big Timer | actedIn
Kenji Fukuda | UD Las Palmas | isAffiliatedTo
Agenor Figueiredo Santos | Nacional Futebol Clube | playsFor
Olly Murs | Heart on My Sleeve | created
Charles Trowbridge | Veracruz | wasBornIn
Josiane Balasko | A Crime in Paradise | actedIn
Philip Baker Hall | Path to War | actedIn
